italien	3	01 42 61 50 19	5 rue moliere	1	cibus	4.0	palais royal musee du louvre
japonais  sushis	2	01 42 97 47 30	49 rue de l'arbre sec	1	midory	4.0	chatelet les halles
francais  bistrot  bars	3	01 42 36 85 91	6 rue des lavandieres sainte opportune	1	a la tete d'or	4.0	chatelet les halles
francais	2	01 42 60 69 29	5 rue echelle	1	le musset	3.0	palais royal musee du louvre
vietnamien  cuisines asiatiques	3	01 42 60 79 79	38 rue du mont thabor	1	au coin des gourmets	4.0	concorde madeleine
brasseries	2	01 42 60 31 80	1 place andre malraux	1	le royal	2.0	palais royal musee du louvre
francais  burger  bars a cocktails	2	09 50 38 90 75	23 avenue victoria	1	cafe joly	4.0	chatelet les halles
coreen	2	01 42 61 79 49	33 rue des petits champs	1	dokkebi	3.5	palais royal musee du louvre
vegetalien  vegetarien	2	01 40 41 93 95	41 rue des bourdonnais	1	veget'halles	4.0	chatelet les halles
francais	4	01 44 58 10 44	####	1	le dali	4.0	place vendome
pizza  italien	2	01 45 08 50 33	26 rue du bouloi	1	valentino	4.5	chatelet les halles
italien	2	01 40 41 94 53	5 rue montorgueil	1	la perla	3.5	chatelet les halles
bars a jus de fruits & smoothies  salades  sans gluten	2	01 73 71 27 31	8 rue de la vrilliere	1	juice it	4.0	bourse
bars a jus de fruits & smoothies  salades  sandwichs	2	01 42 96 00 50	10 rue des pyramides	1	cojean	4.5	palais royal musee du louvre
coreen	1	01 42 60 95 54	14 rue therese	1	ahssi	3.5	palais royal musee du louvre
francais	2	01 42 60 08 06	158 rue st honore	1	le petit machon	3.5	palais royal musee du louvre
francais	2	01 42 36 93 35	2 place saint opportune	1	le petit opportun	4.5	chatelet les halles
americain traditionnel   burger	2	09 67 24 04 53	2 rue du roule	1	hd diner	3.5	chatelet les halles
italien  Epiceries fines	2	01 42 61 45 46	42 place marche saint-honore	1	fuxia	3.5	place vendome
italien  pizza	2	01 45 08 94 66	39 rue des bourdonnais	1	la tavola calda	4.0	chatelet les halles
pizza	1	01 42 36 11 57	16 rue jean jacques rousseau	1	casa festa	4.0	palais royal musee du louvre
restaurants	2	09 54 89 23 20	37 rue berger	1	le bistrot d eustache	4.0	chatelet les halles
